House to Lot Ratio (Bottom),House to Lot Ratio (Top),Acres (Bottom),Acres (Top),VDL Sale Price (Bottom),VDL Sale Price (Top),Records Used,R^2 Test,MSE Test
0.2,0.2,0.2,0.15,0.1,0.1,13875,0.8633736590349494,3.4589583594805555
0.15,0.2,0.15,0.2,0.1,0.15,13689,0.8631958011238567,3.659932519306359
0.1,0.2,0.1,0.05,0.2,0.05,14535,0.8631952289945071,3.6587557529350048
0.1,0.2,0.1,0.05,0.15,0.05,14535,0.8631952289945071,3.6587557529350048
0.15,0.2,0.2,0.2,0.1,0.15,13675,0.863150084415781,3.656717212373527
0.2,0.2,0.2,0.15,0.2,0.15,13646,0.8630909697436112,3.3608064649635634
0.2,0.2,0.15,0.01,0.1,0.15,14058,0.8630008398115213,3.34112975947699
0.2,0.2,0.1,0.01,0.1,0.15,14058,0.8630008398115213,3.34112975947699
0.2,0.2,0.01,0.01,0.1,0.15,14058,0.8630008398115213,3.34112975947699
0.2,0.2,0.2,0.01,0.1,0.15,14058,0.8630008398115213,3.34112975947699
0.2,0.2,0.05,0.01,0.1,0.15,14058,0.8630008398115213,3.34112975947699
0.2,0.2,0.15,0.2,0.01,0.1,13809,0.8627160369187601,3.485717847808518
0.15,0.2,0.1,0.15,0.15,0.05,14260,0.8626864907584495,3.5770543174539284
0.15,0.2,0.15,0.05,0.05,0.01,14644,0.8626736409835722,3.6961332134026232
0.15,0.2,0.15,0.05,0.1,0.01,14644,0.8626736409835722,3.6961332134026232
0.15,0.2,0.2,0.05,0.1,0.01,14644,0.8626736409835722,3.6961332134026232
0.15,0.2,0.2,0.05,0.01,0.01,14644,0.8626736409835722,3.6961332134026232
0.15,0.2,0.15,0.05,0.01,0.01,14644,0.8626736409835722,3.6961332134026232
0.15,0.2,0.2,0.05,0.05,0.01,14644,0.8626736409835722,3.6961332134026232
0.2,0.2,0.15,0.15,0.15,0.1,13877,0.86261637933434,3.356207898968046
0.15,0.2,0.05,0.05,0.05,0.15,13987,0.862599487270345,3.698343757929955
0.15,0.2,0.1,0.05,0.05,0.15,13987,0.862599487270345,3.698343757929955
0.2,0.2,0.2,0.1,0.01,0.15,13837,0.8625140740976383,3.249529799430864
0.15,0.2,0.01,0.05,0.15,0.1,14167,0.8624845903299331,3.5076761333086246
0.15,0.2,0.2,0.2,0.15,0.05,14133,0.8622203929437495,3.622666643820787
0.15,0.2,0.2,0.2,0.05,0.05,14133,0.8622203929437495,3.622666643820787
