Property Address,Owner Address,Distance
"12606 HOLLYHOCK LN, HUNTERSVILLE, NC 28078","12606 HOLLYHOCK LN, HUNTERSVILLE, NC 28078-6859",0.0
"12609 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12609 ANGEL OAK DR, HUNTERSVILLE, NC 28078-7851",0.0
"13014 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13014 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9172",0.0
"8636 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8636 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6865",0.0
"12732 GREEN ASHE DR, HUNTERSVILLE, NC 28078","12732 GREEN ASHE DR, HUNTERSVILLE, NC 28078-4504",0.0
"8723 FOX TAIL LN, HUNTERSVILLE, NC 28078","8723 FOX TRAIL LN, HUNTERSVILLE, NC 28078-4511",9.3
"8341 STAYMAN CT, HUNTERSVILLE, NC 28078","8341 STAYMAN CT, HUNTERSVILLE, NC 28078-9204",0.0
"13032 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13032 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9172",0.0
"9123 NEW OAK LN, HUNTERSVILLE, NC 28078","9123 NEW OAK LN, HUNTERSVILLE, NC 28078-8319",0.0
"12812 BRADFORD HILL LN, HUNTERSVILLE, NC 28078","422 PO BOX, INDIAN TRAIL, NC 28079-0422",33.1
"8813 DOE PATH LN, HUNTERSVILLE, NC 28078","8813 DOE PATH LN, HUNTERSVILLE, NC 28078-8139",0.0
"8619 NEW OAK LN, HUNTERSVILLE, NC 28078","8619 NEW OAK LN, HUNTERSVILLE, NC 28078-8118",0.0
"9025 GOLDEN ROCK LN, HUNTERSVILLE, NC 28078","9025 GOLDEN ROCK LN, HUNTERSVILLE, NC 28078-7433",0.0
"8644 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8644 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6865",0.0
"13114 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13114 ANGEL OAK DR, HUNTERSVILLE, NC 28078-6854",0.0
"8300 APPLESEED CT, HUNTERSVILLE, NC 28078","22401 TORRENCE CHAPEL RD, CORNELIUS, NC 28031-6794",10.3
"8505 MCILWAINE RD, HUNTERSVILLE, NC 28078","8505 MCILWAINE RD, HUNTERSVILLE, NC 28078",0.0
"8717 DOE PATH LN, HUNTERSVILLE, NC 28078","8717 DOE PATH LN, HUNTERSVILLE, NC 28078-8138",0.0
"8722 DOE PATH LN, HUNTERSVILLE, NC 28078","8722 DOE PATH LN, HUNTERSVILLE, NC 28078-8135",0.0
"GILEAD RD, HUNTERSVILLE, NC 28078","20472 CHARTWELL CENTER DR, CORNELIUS, NC 28031-9635",7.3
"OLD STORE RD, HUNTERSVILLE, NC 28078","1515 MOCKINGBIRD LN Unit 600, CHARLOTTE, NC 28209-3582",21.7
"12728 GREEN ASHE DR, HUNTERSVILLE, NC 28078","12728 GREEN ASHE DR, HUNTERSVILLE, NC 28078-4504",0.0
