Parcel Number,Ownership Duration,Calculated Acres,County,City,State,Zip Code,Zoning Code,Zoning Type,Land Use,Deeded Acres,Owner Corporate Indicator,Land Square Footage,Census Tract,Mobile Home Indicator,Property Indicator,Out of State Owner,Total Value Calculated,Total Value Per Acre,Assessed Total Value,Market Total Value,Appraised Total Value,Land Value Calculated,Total Land Value Per Acre,Assessed Land Value,Market Land Value,Appraised Land Value,Improvement Value Calculated,Assessed Improvement Value,Market Improvement Value,Appraised Improvement Value,Assessed Improvement Value Ratio,Tax Amount,Tax Year,Assessed Year,Tax Code Area,Document Type,Sale Price,Sale Price Per Acre,1st Mortgage Amount,Mortgage Assumption Amount,2nd Mortgage Amount,Front Footage,Depth Footage,Universal Building Square Feet,Building Square Feet,Living Square Feet,Ground Floor Square Feet,Gross Square Feet,Adjusted Gross Square Feet,Basement Square Feet,Garage/Parking Square Feet,Year Built
21521106,15.0,25.0475359,Mecklenburg,MATTHEWS,NC,28105,RI,Residential,SFR,25.05,Yes,1091178,57121009, ,SINGLE FAMILY RESIDENCE,No,8020500,320211.13900085,8020500,8020500,0,2996600,119636.51881179,2996600,2996600,0,5023900,5023900,5023900,0,,0.0,0,2023,19,DEED (REG),0,0.0,0,0,0,0,0,7202,7362,7202,7202,0,0,0,0,1954
02321102,11.0,10.19307362,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,10.33, ,449975,61051000, ,SINGLE FAMILY RESIDENCE,Yes,403900,39624.94678916,403900,403900,0,297500,29186.48593656,297500,297500,0,106400,106400,106400,0,,0.0,0,2023,12,SPECIAL WARRANTY DEED,68000,6671.1967855,0,0,0,0,0,608,1264,608,608,0,0,0,0,1945
01113109,7.0,21.52501787,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,FOREST,48.132, ,2096630,63101000, ,AGRICULTURAL,No,2581313,119921.52643297,2581313,2581313,0,2581313,119921.52643297,2581313,2581313,0,0,0,0,0,,0.0,0,2023,12,WARRANTY DEED,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01502104,8.0,13.06644785,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,13.242, ,576822,62211000, ,SINGLE FAMILY RESIDENCE,No,1428400,109318.15716626,1428400,1428400,0,769000,58853.02636576,769000,769000,0,659400,659400,659400,0,,7668.74,2023,2023,4,WARRANTY DEED,735000,56250.94197508,551250,0,0,0,0,2287,3106,2287,2287,0,0,0,0,1984
13901211,15.0,11.35561887,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,11.36,Yes,494842,57141045, ,SINGLE FAMILY RESIDENCE,No,431800,38025.22828503,431800,431800,0,431800,38025.22828503,431800,431800,0,0,0,0,0,,0.0,0,2023,17,SPECIAL WARRANTY DEED,3500000,308217.45946641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13916103,15.0,17.57415123,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,RURAL HOMESITE,17.57, ,765349,57151000, ,SINGLE FAMILY RESIDENCE,No,781000,44440.26852889,781000,781000,0,441300,25110.74328015,441300,441300,0,339700,339700,339700,0,,2587.72,2023,2023,16,WARRANTY DEED,0,0.0,0,0,0,0,0,1976,5492,1976,1976,0,0,1612,728,1965
13915108,15.0,19.983945,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,AGRICULTURAL (NEC),22.288,Yes,970865,57141008, ,AGRICULTURAL,No,592861,29666.86507641,592861,592861,0,592861,29666.86507641,592861,592861,0,0,0,0,0,,0.0,0,2023,16,WARRANTY DEED,288000,14411.56888715,78600,0,0,0,0,0,0,0,0,0,0,0,0,0
13922201,15.0,41.34889315,Mecklenburg,MIDLAND,NC,28107,R,Residential,RURAL HOMESITE,41.885, ,1824511,57151044, ,SINGLE FAMILY RESIDENCE,No,1729588,41829.12451281,1729588,1729588,0,1135288,27456.30931176,1135288,1135288,0,594300,594300,594300,0,,4424.47,2023,2023,16,WARRANTY DEED,0,0.0,0,0,0,0,0,3194,4381,3194,3194,0,0,0,792,1969
02323102,1.0,29.24948194,Mecklenburg,CHARLOTTE,NC,28214,R8CD,Residential,SFR,29.31,Yes,1276744,61031038, ,SINGLE FAMILY RESIDENCE,Yes,984800,33668.97239437,984800,984800,0,984800,33668.97239437,984800,984800,0,0,0,0,0,,6673.99,2023,2023,7,WARRANTY DEED,1400000,47864.09560531,1225000,0,535000,0,0,0,0,0,0,0,0,0,0,0
01933113,15.0,17.04378884,Mecklenburg,HUNTERSVILLE,NC,28078,R4,Residential,SFR,17.5996,Yes,766639,55081007, ,SINGLE FAMILY RESIDENCE,No,1234800,72448.67976841,1234800,1234800,0,1234800,72448.67976841,1234800,1234800,0,0,0,0,0,,8368.24,2023,2023,12, ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13924118,12.0,11.588316,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,AGRICULTURAL (NEC),11.986, ,522110,57151033, ,AGRICULTURAL,No,207238,17883.35768174,207238,207238,0,207238,17883.35768174,207238,207238,0,0,0,0,0,,50.27,2023,2023,16,WARRANTY DEED,100000,8629.38152353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13924109,7.0,39.97652266,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,RURAL HOMESITE,40.96, ,1784218,57151011, ,SINGLE FAMILY RESIDENCE,No,1226234,30673.85351559,1226234,1226234,0,1031234,25795.99053386,1031234,1031234,0,195000,195000,195000,0,,1633.15,2023,2023,16,SPECIAL WARRANTY DEED,225000,5628.30344046,0,0,0,0,0,1872,2216,1872,1872,0,0,0,378,1940
00905114,0.0,15.84594535,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,AGRICULTURAL (NEC),14.1,Yes,614196,62101022, ,AGRICULTURAL,Yes,241576,15245.28796755,241576,241576,0,241576,15245.28796755,241576,241576,0,0,0,0,0,,55.83,2023,2023,4,SPECIAL WARRANTY DEED,8639500,545218.33872435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19505131,15.0,35.95358319,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,36.451,Yes,1587806,57131010, ,SINGLE FAMILY RESIDENCE,No,1760600,48968.69362416,1760600,1760600,0,1760600,48968.69362416,1760600,1760600,0,0,0,0,0,,12290.75,2023,2023,17,WARRANTY DEED,980500,27271.27348545,980009,0,0,0,0,0,0,0,0,0,0,0,0,0
01943771,15.0,12.90015624,Mecklenburg,HUNTERSVILLE,NC,28078,NRCD,Residential,SFR,12.9,Yes,561924,63101015, ,SINGLE FAMILY RESIDENCE,Yes,5300,410.8477372,5300,5300,0,5300,410.8477372,5300,5300,0,0,0,0,0,,34.4,2023,2023,4, ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22715112,15.0,43.43279195,Mecklenburg,MATTHEWS,NC,28105,R15,Residential,NURSING HOME,43.3732,Yes,1889337,58333029, ,HOSPITAL,Yes,79852500,1838530.20771522,79852500,79852500,0,5590200,128709.20218114,5590200,5590200,0,74262300,74262300,74262300,0,,590589.09,2023,2023,19,SPECIAL WARRANTY DEED,703000,16185.92700321,0,0,0,0,0,48184,48184,46468,0,0,0,0,0,2016
